year,predicted_champion,predicted_prob_pct,actual_champion,actual_champion_prob_pct,correct
1984,BOS,47.2,BOS,47.2,True
1985,POR,100.0,LAL,0.0,False
1987,BOS,64.1,LAL,22.5,False
1988,LAL,51.7,LAL,51.7,True
1989,LAL,74.7,DET,3.7,False
1990,LAL,70.3,DET,1.9,False
1991,CHI,57.1,CHI,57.1,True
1992,CHI,59.0,CHI,59.0,True
1993,PHO,54.0,CHI,8.5,False
1994,ATL,27.3,HOU,6.4,False
1995,ORL,42.4,HOU,1.3,False
1996,SEA,37.8,CHI,22.4,False
1997,CHI,52.2,CHI,52.2,True
1998,CHI,40.4,CHI,40.4,True
1999,IND,36.6,SAS,9.0,False
2000,IND,30.3,LAL,29.8,False
2001,SAS,32.9,LAL,31.2,False
2002,NJN,21.4,LAL,19.8,False
2003,ORL,20.7,SAS,7.1,False
2004,IND,24.0,DET,9.5,False
2005,MIA,41.9,SAS,4.5,False
2006,DET,40.7,MIA,14.2,False
2007,DET,37.2,SAS,6.7,False
2008,BOS,54.2,BOS,54.2,True
2009,CLE,52.6,LAL,24.3,False
2010,CLE,60.2,LAL,13.7,False
2011,CHI,37.7,DAL,2.1,False
2012,MIA,28.7,MIA,28.7,True
2013,MIA,76.1,MIA,76.1,True
2014,MIA,43.3,SAS,15.7,False
2015,ATL,36.0,GSW,21.5,False
2016,CLE,48.0,CLE,48.0,True
2017,BOS,53.1,GSW,9.2,False
2018,HOU,31.9,GSW,7.9,False
2019,MIL,47.9,TOR,6.6,False
2020,MIL,48.0,LAL,32.3,False
2021,PHI,36.5,MIL,17.0,False
2022,BOS,21.5,GSW,3.3,False
2023,BOS,27.3,DEN,19.4,False
2024,BOS,59.9,BOS,59.9,True
